path,sha256,category,line,excerpt
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,26,a third valuation coordinate and is not classified by the fixed-fibre theorem; an explicit
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,28,"is reserved for a separate companion theorem. The result is local, family-specific and"
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,36,"Krylov sector, and records why moving directions require a separate three-scale theorem."
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,61,protocol face. The present paper proves the two-variable fixed-fibre theorem and records
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,63,moving-direction theorem is a separate companion result.
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,71,The theorem sequence is:
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,72,1. the exact selected-numerator theorem;
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,73,2. the coefficient syzygy theorem;
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,74,3. the exact-dark component theorem;
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,75,4. the endpoint support lemma;
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,77,6. the fixed-fibre positive-power-law theorem;
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,104,outside the theorem’s quantifiers. The declared source ise0 and the declared target ise5. We
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,139,Proposition 2.1 (Certificate-generated source Krylov sector). LetRorig act by
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,161,3 Exact numerator theorem
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,166,Theorem 3.1 (Exact selected numerator). Let
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,188,"Remark 3.2. The theorem is an exact polynomial identity, not an interpolation statement."
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,191,4 Syzygy theorem
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,theorem_like,192,Theorem 4.1 (Coefficient syzygy). The three numerator coefficients satisfy
