path,sha256,pages,text_characters,title,author,subject,status,error
_EA1_R1_1_REPAIR_WORK/EXTRACTED_BEFORE/M3A_ENDPOINT_ACCESS_WORD_SUPPORT_EA1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_2.pdf,4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222,14,28701,Exact fixed-direction trichotomy and fixed-fibre positive-power-law stability in a six-state dark quantum channel,Zach Medford,,extracted,
_GF1_WORK/FRESH/ARC1_LOCK/M3A_ARC1_COLLEAGUE_LOCKED_DEFINITIONS_R1_0/ARC1_LOCKED_DEFINITIONS_REFERENCE.pdf,07948d0d9b606db20874eed5941ade3dbc423782d96a94fafd199e8ccdc03444,6,5572,ARC1 Locked Definitions Reference R1.0,Clarification release,(unspecified),extracted,
_GF1_WORK/FRESH/NP1/M3A_NEWTON_PROTOCOL_ATLAS_NP1/INPUTS/M3A_Diagonal_Family_Trichotomy_Paper_R1_1.pdf,36b27ccef80998fd43517be20d7915772d24a8f9d055b8abd0532054761f0013,12,21955,Exact diagonal-family trichotomy and positive-power-law stability in a six-state dark quantum channel,Zach Medford,,extracted,
_HANDOFF_GENERATOR_WORK/M3A Prompts - copy/M3A_Stage_4_Formulate_M3A_Open_Prompt_REVISED.pdf,0af67a30e68ffa3cf0d46d0cff8d852eef29f1ffd7c83373876b93dfe39e3cbf,9,18886,M3A Stage 4 Revised - Formulate M3A-Open,Zach Medford,(unspecified),extracted,
_HANDOFF_GENERATOR_WORK/M3A Prompts - copy/M3A_Stage_5_Obstruction_Index_Theory_Prompt_REVISED.pdf,7123c3d925d5d9430fcbb220b90358c46d029acc97196bcab198fbf7f0043d41,11,24680,"M3A Stage 5 Revised - Obstruction, Degree, and Index Theory",Zach Medford,(unspecified),extracted,
_HANDOFF_GENERATOR_WORK/M3A Prompts - copy/M3A_Stage_6_Physical_Validation_Applications_Interpretation_REVISED.pdf,e0036359c03cad30333d8f875c7b23639e636730ee62b2943185a475dc1eff4a,8,19831,M3A Stage 6 Revised Prompt,(anonymous),(unspecified),extracted,
_HANDOFF_GENERATOR_WORK/M3A Theorem - copy/M3A_Diagonal_Family_Trichotomy_Paper.pdf,69090c55192c56afc5d933cb163e4f58522c6d6df08e10177d2c33f170c3d810,11,21102,Exact diagonal-family trichotomy and positive-power-law stability in a six-state dark quantum channel,Zach Medford,,extracted,
_TF1_R1_1_WORK/CORRECTIONS/M3A_handover_corrections/01_corrected_lemma_6_1_and_theorem_8_2.pdf,9671a461df4ad9b3521b07da790200c28424325195b64ffbd5a82140a6f03b2d,4,3597,,,,extracted,
Litrature/cdc_prompt.pdf,0e48deee28caba82ee5b4191d4c5c6ec4d62e5d27890fa7f0d2c8868f8b758f3,2,4997,,,,extracted,
Litrature/Oriented or signed Cayley graphs with all.pdf,5037d2ea18c0be587ae4555ccaa39d3f3095460c598d76dcf04dc967fa5489ba,43,77067,,,,extracted,
Litrature/PERFECT AND MULTIPLE STATE TRANSFER IN ORIENTED CAYLEY.pdf,a486a6ada3382eb824d1825fbc6272872a52a5f2c06fd05472ec0c30516ff6d9,18,45749,Perfect and multiple state transfer in oriented Cayley graphs,Ada Chan; Venkata Raghu Tej Pantangi; Andriaherimanana Sarobidy Razafimahatratra; Peter Sin,,extracted,
Litrature/Quantifying State Transfer Strength on Graphs.pdf,a5682a324b2bd6f072162a2ba93ccf6c1c2f4bac0b8c25733dfc7319707eccb6,12,22438,,,,extracted,
Litrature/Quantum walks on join graphs.pdf,1bfdb62fae0a8c08fec34097824767620dc7f21b15ce24f2c9270fb4949705a2,14,56349,Quantum walks on join graphs,Steve Kirkland,"Discrete Mathematics, 349 (2026) 114832. 10.1016/j.disc.2025.114832",extracted,
Litrature/State Transfer in Complex Quantum Walks.pdf,4a2d69492de9caee0b1a8e2f7e92d38304686c725e76ac79cb1c70cf1805a41c,21,62588,,,,extracted,
Litrature/Superluminal Correlations in Ensembles of Optical.pdf,e3c1b1f7a320fb61e2dbe99881f846276c0f51d2213f0064454642f8d2b75be9,20,55664,Mansucript_full,Tomer Bucher,,extracted,
M3A Papers/M3A_A_Finite_Algebraic_Diagnostic_Pass_REBUILT (1).pdf,3be7dc3d6d62f92bbb45d3f1760bdacff0e12b9ecccfb3bd8b74c6a933d9c678,17,35509,M3A: A Finite Algebraic Diagnostic Pass for Exact Zero Transfer and Leakage Risk,Zach Medford,,extracted,
M3A Papers/M3A_Finite_Algebraic Diagnostics for Exact Zero Transfer.pdf,a05dcf98b16b5a2245dd25ffa81079bc6f2e3e7799646b9f7e53764fe2183461,20,49799,"M3A: Finite Algebraic Diagnostics for Exact Zero Transfer, Leakage Attribution and Open-System Readouts",Zach Medford,"Finite algebraic diagnostics for exact zero transfer, leakage attribution and open-system readouts",extracted,
M3A Papers/signed_involution_exact_zero_transfer_pst_revised.pdf,93f47bf862e44d7232c20aa1ad5c54b20d589c307218c80638ce68ed47c6b4f5,34,70551,,,,extracted,
M3A Stage 1-6/M3A_Stages1-6_Detailed_Testing_Summary.pdf,ad82fbd8ac169af61942fa8532620df896df2a390a84901f7b50eee17a637b69,24,49550,,python-docx,,extracted,
MA3 Scripts and Data/L2 tests/signed_involution_exact_zero_transfer_layer2_revised.pdf,3f8bbd3bfcf5b42b7d07521360653291d671df3e65dec6d2ed8f3ce6a30ed56b,32,65455,,,,extracted,
